15/05/2019 09:44:5,223,37,-5,0.89,-1,32,101,91
15/05/2019 09:45:00,197,40,-5,0.89,-1,24,101,90
15/05/2019 09:45:1,225,40,-4,0.89,-1,27,101,90
15/05/2019 09:45:2,285,41,-4,0.89,-1,26,100,91
15/05/2019 09:45:3,285,40,-4,0.89,-1,21,101,90
15/05/2019 09:45:4,275,40,-4,0.89,-1,21,101,90
15/05/2019 09:45:5,174,37,-2,0.89,-1,24,101,90
15/05/2019 09:46:00,103,38,-2,0.89,-1,21,101,91
15/05/2019 09:46:1,243,39,-5,0.89,-1,22,101,90
15/05/2019 09:46:2,262,39,-4,0.89,-1,25,101,90
15/05/2019 09:46:3,171,37,-6,0.89,-1,23,100,90
15/05/2019 09:46:4,132,33,-9,0.89,-1,21,101,90
15/05/2019 09:46:5,115,36,-7,0.89,-1,24,102,90
15/05/2019 09:47:00,123,36,-8,0.89,-1,25,102,90
15/05/2019 09:47:1,197,38,-4,0.89,-1,24,101,89
15/05/2019 09:47:2,285,40,-2,0.89,-1,25,101,89
15/05/2019 09:47:3,285,39,-2,0.89,-1,34,101,90
15/05/2019 09:47:4,285,38,0,0.89,-1,23,101,90
15/05/2019 09:48:00,170,39,-2,0.89,-1,21,101,90
15/05/2019 09:48:1,108,39,0,0.89,-1,22,101,90
15/05/2019 09:48:2,140,39,0,0.89,-1,21,101,90
15/05/2019 09:48:3,220,40,0,0.89,-1,22,101,90
15/05/2019 09:48:4,278,40,0,0.89,-1,26,101,90
15/05/2019 09:48:5,285,40,0,0.89,-1,21,101,90
15/05/2019 09:49:00,251,40,0,0.89,-1,23,101,89
15/05/2019 09:49:1,285,40,-2,0.89,-1,21,101,90
15/05/2019 09:49:2,232,40,-4,0.89,-1,22,101,90
15/05/2019 09:49:3,168,40,-4,0.89,-1,20,101,90
15/05/2019 09:49:4,285,41,-2,0.89,-1,20,101,90
15/05/2019 09:49:5,285,41,-3,0.89,-1,24,101,90
15/05/2019 09:50:00,285,41,-3,0.89,-1,22,101,90
15/05/2019 09:50:1,285,40,-3,0.89,-1,22,101,90
15/05/2019 09:50:2,285,40,-4,0.89,-1,22,101,90
15/05/2019 09:50:3,285,41,0,0.89,-1,22,101,90
15/05/2019 09:50:4,285,43,0,0.89,-1,26,101,90
15/05/2019 09:50:5,285,42,0,0.89,-1,20,100,90
15/05/2019 09:51:00,285,43,0,0.89,-1,19,101,90
15/05/2019 09:51:1,285,41,0,0.89,-1,21,101,90
15/05/2019 09:51:2,285,41,0,0.89,-1,19,101,90
15/05/2019 09:51:3,285,41,0,0.89,-1,19,101,90
15/05/2019 09:51:4,171,42,0,0.89,-1,19,101,90
15/05/2019 09:51:5,116,42,0,0.89,-1,19,102,90
15/05/2019 09:52:00,150,41,0,0.89,-1,19,100,90
15/05/2019 09:52:1,89,37,-4,0.89,-1,20,101,90
15/05/2019 09:52:2,62,38,-3,0.89,-1,20,101,91
15/05/2019 09:52:3,48,37,-5,0.89,-1,22,101,90
15/05/2019 09:52:4,35,38,-4,0.89,-1,21,101,90
15/05/2019 09:52:5,24,38,-4,0.89,-1,21,101,90
15/05/2019 09:53:00,18,37,-3,0.89,-1,22,101,90
15/05/2019 09:53:1,12,38,-4,0.89,-1,23,101,90
15/05/2019 09:53:2,0,38,-4,0.89,-1,24,101,90
15/05/2019 09:53:3,0,38,-4,0.89,-1,22,101,89
15/05/2019 09:53:4,0,38,-4,0.89,-1,22,100,90
15/05/2019 09:53:5,0,38,-4,0.89,-1,22,101,90
15/05/2019 09:54:00,0,38,-4,0.89,-1,22,101,91
15/05/2019 09:54:1,0,39,-3,0.89,-1,22,101,90
15/05/2019 09:54:2,15,39,-4,0.89,-1,21,101,90
15/05/2019 09:54:3,19,39,-3,0.89,-1,21,101,90
15/05/2019 09:54:4,23,38,-4,0.89,-1,20,102,89
15/05/2019 09:54:5,24,38,-4,0.89,-1,20,101,90
15/05/2019 09:55:00,24,36,-4,0.89,-1,20,101,90
15/05/2019 09:55:1,24,35,-4,0.89,-1,21,101,90
15/05/2019 09:55:2,19,36,-3,0.89,-1,22,101,89
15/05/2019 09:55:3,14,34,-4,0.89,-1,23,101,90
15/05/2019 09:55:4,0,32,-4,0.89,-1,23,101,90
15/05/2019 09:55:5,0,34,-3,0.89,-1,24,101,90
15/05/2019 09:56:00,0,35,-4,0.89,-1,26,101,89
15/05/2019 09:56:1,0,35,-4,0.89,-1,25,101,89
15/05/2019 09:56:2,0,35,-3,0.89,-1,24,101,90
15/05/2019 09:56:3,0,35,-4,0.89,-1,24,101,90
15/05/2019 09:56:4,0,35,-3,0.89,-1,24,101,90
15/05/2019 09:56:5,0,35,-3,0.89,-1,24,101,90
15/05/2019 09:57:00,0,34,-3,0.89,-1,24,101,89
15/05/2019 09:57:1,0,34,-3,0.89,-1,25,102,90
15/05/2019 09:57:2,0,34,-3,0.89,-1,24,101,90
